"Time","Value (%)"
"2019/01/30 16:25:00","39.9818"
"2019/01/30 16:20:00","40.1907"
"2019/01/30 16:15:00","40.0901"
"2019/01/30 16:10:00","40.0943"
"2019/01/30 16:05:00","39.823"
"2019/01/30 16:00:00","39.4706"
"2019/01/30 15:55:00","39.5707"
"2019/01/30 15:50:00","39.4406"
"2019/01/30 15:45:00","39.3589"
"2019/01/30 15:45:00","39.3588638"
"2019/01/30 15:40:00","39.232"
"2019/01/30 15:40:00","39.2319908"
"2019/01/30 15:35:00","39.3236"
"2019/01/30 15:35:00","39.3236275"
"2019/01/30 15:30:00","39.244"
"2019/01/30 15:30:00","39.2440376"
"2019/01/30 15:25:00","39.0625"
"2019/01/30 15:25:00","39.0625381"
"2019/01/30 15:20:00","39.2162"
"2019/01/30 15:20:00","39.2161942"
"2019/01/30 15:15:00","39.1963"
"2019/01/30 15:15:00","39.1962967"
"2019/01/30 15:10:00","39.4316"
"2019/01/30 15:10:00","39.4315758"
"2019/01/30 15:05:00","39.7044"
"2019/01/30 15:05:00","39.7043648"
"2019/01/30 15:00:00","39.7191"
"2019/01/30 15:00:00","39.7191238"
"2019/01/30 14:55:00","39.7407"
"2019/01/30 14:55:00","39.7407265"
"2019/01/30 14:50:00","39.56"
"2019/01/30 14:50:00","39.5599709"
"2019/01/30 14:45:00","39.258"
"2019/01/30 14:45:00","39.2580109"
"2019/01/30 14:40:00","39.2924"
"2019/01/30 14:40:00","39.2924194"
"2019/01/30 14:35:00","38.9824"
"2019/01/30 14:35:00","38.9823685"
"2019/01/30 14:30:00","39.2391"
"2019/01/30 14:30:00","39.2391357"
"2019/01/30 14:25:00","39.2711"
"2019/01/30 14:25:00","39.2710609"
"2019/01/30 14:20:00","39.0132"
"2019/01/30 14:20:00","39.0131874"
"2019/01/30 14:15:00","39.1636"
"2019/01/30 14:15:00","39.1636124"
"2019/01/30 14:10:00","39.0958"
"2019/01/30 14:10:00","39.0957909"
"2019/01/30 14:05:00","39.032"
"2019/01/30 14:05:00","39.0319633"
"2019/01/30 14:00:00","38.9639"
"2019/01/30 14:00:00","38.9639091"
"2019/01/30 13:55:00","38.9824"
"2019/01/30 13:55:00","38.9824486"
"2019/01/30 13:50:00","38.8522"
"2019/01/30 13:50:00","38.852211"
"2019/01/30 13:45:00","38.8462"
"2019/01/30 13:45:00","38.8461533"
