"Time","Value (%)"
"2019/01/30 10:25:00","38.0846"
"2019/01/30 10:25:00","38.08461"
"2019/01/30 10:20:00","38.47"
"2019/01/30 10:20:00","38.4700165"
"2019/01/30 10:15:00","38.9455"
"2019/01/30 10:15:00","38.9455452"
"2019/01/30 10:10:00","38.3136"
"2019/01/30 10:10:00","38.3135529"
"2019/01/30 10:05:00","38.5333"
"2019/01/30 10:05:00","38.5333328"
"2019/01/30 10:00:00","39.0706"
"2019/01/30 10:00:00","39.0705757"
"2019/01/30 09:55:00","38.2809"
"2019/01/30 09:55:00","38.2809181"
"2019/01/30 09:50:00","38.5578"
"2019/01/30 09:50:00","38.5577545"
"2019/01/30 09:45:00","38.6945"
"2019/01/30 09:45:00","38.6945076"
"2019/01/30 09:40:00","38.0029"
"2019/01/30 09:40:00","38.0028534"
"2019/01/30 09:35:00","38.8752"
"2019/01/30 09:35:00","38.8752136"
"2019/01/30 09:30:00","38.1182"
"2019/01/30 09:30:00","38.1181946"
"2019/01/30 09:25:00","38.1915"
"2019/01/30 09:25:00","38.191452"
"2019/01/30 09:20:00","38.7531"
"2019/01/30 09:20:00","38.7531166"
"2019/01/30 09:15:00","37.9717"
"2019/01/30 09:15:00","37.9716759"
"2019/01/30 09:10:00","38.6385"
"2019/01/30 09:10:00","38.638504"
"2019/01/30 09:05:00","38.3136"
"2019/01/30 09:05:00","38.3135529"
"2019/01/30 09:00:00","38.3059"
"2019/01/30 09:00:00","38.3059158"
"2019/01/30 08:55:00","39.3148"
"2019/01/30 08:55:00","39.3147736"
"2019/01/30 08:50:00","38.5089"
"2019/01/30 08:50:00","38.5089149"
"2019/01/30 08:45:00","38.7287"
"2019/01/30 08:45:00","38.7286949"
"2019/01/30 08:40:00","38.4845"
"2019/01/30 08:40:00","38.4844933"
"2019/01/30 08:35:00","37.9912"
"2019/01/30 08:35:00","37.9912109"
"2019/01/30 08:30:00","38.3868"
"2019/01/30 08:30:00","38.3868141"
"2019/01/30 08:25:00","37.6542"
"2019/01/30 08:25:00","37.654213"
"2019/01/30 08:20:00","38.167"
"2019/01/30 08:20:00","38.1670341"
"2019/01/30 08:15:00","37.7275"
"2019/01/30 08:15:00","37.7274742"
"2019/01/30 08:10:00","37.4833"
"2019/01/30 08:10:00","37.4832726"
"2019/01/30 08:05:00","37.9961"
"2019/01/30 08:05:00","37.9960938"
"2019/01/30 08:00:00","37.3368"
"2019/01/30 08:00:00","37.3367538"
"2019/01/30 07:55:00","38.1182"
"2019/01/30 07:55:00","38.1181946"
"2019/01/30 07:50:00","37.3612"
"2019/01/30 07:50:00","37.3611717"
"2019/01/30 07:45:00","37.874"
"2019/01/30 07:45:00","37.8739929"
"2019/01/30 07:40:00","37.6542"
"2019/01/30 07:40:00","37.654213"
"2019/01/30 07:35:00","37.7031"
"2019/01/30 07:35:00","37.7030525"
"2019/01/30 07:30:00","38.2159"
"2019/01/30 07:30:00","38.2158737"
"2019/01/30 07:25:00","37.4851"
"2019/01/30 07:25:00","37.4850731"
"2019/01/30 07:20:00","38.7531"
"2019/01/30 07:20:00","38.7531166"
"2019/01/30 07:15:00","38.0449"
"2019/01/30 07:15:00","38.0449333"
"2019/01/30 07:10:00","38.0808"
"2019/01/30 07:10:00","38.0808296"
"2019/01/30 07:05:00","38.0608"
