"Time","Value (°C)"
"2019/01/30 10:00:00","21.8991451"
"2019/01/30 09:55:00","21.8864"
"2019/01/30 09:55:00","21.8864479"
"2019/01/30 09:50:00","21.9143"
"2019/01/30 09:50:00","21.9143353"
"2019/01/30 09:45:00","21.9284"
"2019/01/30 09:45:00","21.9284496"
"2019/01/30 09:40:00","21.9109"
"2019/01/30 09:40:00","21.9108677"
"2019/01/30 09:35:00","21.9511"
"2019/01/30 09:35:00","21.9511108"
"2019/01/30 09:30:00","21.9462"
"2019/01/30 09:30:00","21.9462337"
"2019/01/30 09:25:00","21.972"
"2019/01/30 09:25:00","21.9720097"
"2019/01/30 09:20:00","21.9696"
"2019/01/30 09:20:00","21.9696312"
"2019/01/30 09:15:00","21.9234"
"2019/01/30 09:15:00","21.9233704"
"2019/01/30 09:10:00","21.9561"
"2019/01/30 09:10:00","21.9560661"
"2019/01/30 09:05:00","21.9488"
"2019/01/30 09:05:00","21.9488487"
"2019/01/30 09:00:00","21.9837"
"2019/01/30 09:00:00","21.983736"
"2019/01/30 08:55:00","21.9841"
"2019/01/30 08:55:00","21.984129"
"2019/01/30 08:50:00","21.9726"
"2019/01/30 08:50:00","21.9725609"
"2019/01/30 08:45:00","21.9917"
"2019/01/30 08:45:00","21.9916973"
"2019/01/30 08:40:00","21.9917"
"2019/01/30 08:40:00","21.9917469"
"2019/01/30 08:35:00","21.9646"
"2019/01/30 08:35:00","21.9645901"
"2019/01/30 08:30:00","21.9841"
"2019/01/30 08:30:00","21.984129"
"2019/01/30 08:25:00","22.0085"
"2019/01/30 08:25:00","22.0085468"
"2019/01/30 08:20:00","22.0265"
"2019/01/30 08:20:00","22.0265198"
"2019/01/30 08:15:00","22.054"
"2019/01/30 08:15:00","22.0540142"
"2019/01/30 08:10:00","22.0085"
"2019/01/30 08:10:00","22.0085468"
"2019/01/30 08:05:00","22.0134"
"2019/01/30 08:05:00","22.0134315"
"2019/01/30 08:00:00","22.0144"
"2019/01/30 08:00:00","22.0144081"
"2019/01/30 07:55:00","21.9744"
"2019/01/30 07:55:00","21.9743595"
"2019/01/30 07:50:00","21.9966"
"2019/01/30 07:50:00","21.9966316"
"2019/01/30 07:45:00","22.0085"
"2019/01/30 07:45:00","22.0085468"
"2019/01/30 07:40:00","21.9809"
"2019/01/30 07:40:00","21.9808846"
"2019/01/30 07:35:00","21.989"
"2019/01/30 07:35:00","21.9890118"
"2019/01/30 07:30:00","21.974"
"2019/01/30 07:30:00","21.9739609"
"2019/01/30 07:25:00","21.9841"
"2019/01/30 07:25:00","21.984129"
"2019/01/30 07:20:00","21.989"
"2019/01/30 07:20:00","21.9890118"
"2019/01/30 07:15:00","22"
"2019/01/30 07:15:00","21.9999523"
"2019/01/30 07:10:00","21.9911"
"2019/01/30 07:10:00","21.9911194"
"2019/01/30 07:05:00","21.9949"
"2019/01/30 07:05:00","21.994873"
"2019/01/30 07:00:00","21.9472"
"2019/01/30 07:00:00","21.9472027"
"2019/01/30 06:55:00","21.9649"
"2019/01/30 06:55:00","21.9649124"
"2019/01/30 06:50:00","21.9597"
"2019/01/30 06:50:00","21.9597054"
"2019/01/30 06:45:00","21.9406"
"2019/01/30 06:45:00","21.9405613"
"2019/01/30 06:40:00","21.9109"
"2019/01/30 06:40:00","21.9108677"
"2019/01/30 06:35:00","21.9457"
"2019/01/30 06:35:00","21.9457111"
"2019/01/30 06:30:00","21.9109"
"2019/01/30 06:30:00","21.9108677"
"2019/01/30 06:25:00","21.9792"
"2019/01/30 06:25:00","21.9792442"
"2019/01/30 06:20:00","21.951"
"2019/01/30 06:20:00","21.9509525"
"2019/01/30 06:15:00","21.9353"
"2019/01/30 06:15:00","21.9352856"
"2019/01/30 06:10:00","21.9304"
"2019/01/30 06:10:00","21.9304028"
"2019/01/30 06:05:00","21.9196"
"2019/01/30 06:05:00","21.9195919"
"2019/01/30 06:00:00","21.9294"
"2019/01/30 06:00:00","21.9294262"
"2019/01/30 05:55:00","21.9605"
"2019/01/30 05:55:00","21.9604797"
"2019/01/30 05:50:00","21.9785"
"2019/01/30 05:50:00","21.9785042"
